courses
Applications in Information Systems
Artificial Intelligence
Basic Algebra
Business Analytics
Calculus and Analytic Geometry I
Calculus and Analytic Geometry II
Calculus and Analytic Geometry III
Circuit Modeling I
College Algebra
College Writing I
College Writing II
Computer Architecture/Operating Systems
Computer Graphics
Corporate Finance
Data Communications and Computer Networks
Database Design and Implementation
Discrete Mathematics
Discrete Structures
Electrical Engineering Projects and Tools
Elementary Algebra
Elementary Statistics
Engineering Management
Essentials of Anatomy and Physiology
Financial Accounting
Finite Mathematics with Applications
Fundamentals of Engineering Analysis Tools
General Physics I
General Physics II
Human Factors Engineering
Intermediate Algebra
Intermediate Software Engineering
Interpretation of Business and Economic Data
Introduction to Agribusiness
Introduction to Computer Security
Introduction to Marketing
Introduction to Microprocessors
Introduction to Programming
Introduction to Software Engineering
Leadership and Management
Logic and Digital Design
Management Accounting
Mathematical Problem Solving
Microcomputer Applications
Microsoft Excel for Business
Object Oriented Analysis and Design
Object-Oriented Programming and Data Structures I
Object-Oriented Programming and Data Structures II
Operations Management
Operations Research I
Organizational Behavior
postreq
Precalculus
Principles and Applications of Project Management
Programming in C++
Programming in COBOL
Programming in VB.NET
Programming Language Structures
Quality Engineering
Quality Management
Real-Time Embedded Systems Programming
Software Engineering Project I
Software Engineering Project II
Software Maintenance and Reengineering
Software Quality
Statistical Methods with Applications
Studio College Writing
Systems Analysis and Design
Systems Development and Implementation
Technical Writing
Trigonometry and Analytic Geometry
"Web Protocols, Technologies, and Applications"
Windows Programming
